% Model:              medium_zylinder_1000V.mph
% Version:            COMSOL 5.4.0.295
% Date:               Jan 19 2021, 18:06
% Dimension:          2
% Nodes:              5718
% Expressions:        2
% Description:        Electric field, r component, Electric field, z component
% Length unit:        m
% r                       z                        es.Er (V/m)              es.Ez (V/m)
0.0013056107469279266     0.001358285458751715     0.0019409015849751743    -2.452884292604014
0                         0.0019981159471670904    -1.502466648341342E-4    -2.4561439840996475
0                         0                        -5.66815023609557E-4     -2.451697002599766
0.0020000000000003843     0                        -2.9505795652973177E-5   -2.449479989508104
0.0014910978021367798     0.003013638309450079     0.005023084591696314     -2.4605951516092635
0                         0.003996231894334181     -9.967995136047255E-6    -2.4695737336668193
0.004000000000000377      0                        -6.279486966217125E-5    -2.442772068255963
0.0030369559325024676     0.0017796730371414063    0.006017631938206972     -2.4499938207248997
0.0015581547033089074     0.004975451582914651     0.008683101649698507     -2.477974991599312
0                         0.005994347841501271     2.9431759413315697E-6    -2.492003403870304
0.005113258233448269      0.0016058935598628574    0.00914053858926885      -2.4400273669522616
0.0060000000000003705     0                        -3.601408218697107E-5    -2.431662355820853
0.0016052974367311485     0.006969804493789044     0.012602537981976155     -2.5046588971147616
0                         0.007992463788668362     1.1991072752811268E-5    -2.5235027870062074
0.00705594977143428       0.0016211011825532416    0.012705367019820502     -2.4268934172039085
0.008000000000000364      0                        -2.1167969494288268E-5   -2.4161008586094628
0.0016041754239023577     0.008976857741751889     0.016303860187481572     -2.5407866206405263
0                         0.009990579735835451     5.548624087007663E-6     -2.564200025997651
0.009032206246212104      0.0016304507787079316    0.016305153803231203     -2.409267471879756
0.010000000000000358      0                        -1.611438202978969E-5    -2.3961681348147255
0.0016076954438107415     0.010978567819826422     0.020106929695201597     -2.58612789720326
0                         0.01198869568300254      3.128313543913445E-6     -2.614254664570647
0.011022834673033081      0.0016295679770578625    0.019799118148678036     -2.3871861890502433
0.01200000000000035       0                        -1.3080458341215481E-5   -2.3719239323311183
0.0016114065481667983     0.012978228809338504     0.024001995735367803     -2.64087889750273
0                         0.01398681163016963      2.940464482274289E-7     -2.6738559602051666
0.013014854812040413      0.0016244073162354853    0.02317399369618393      -2.3608266048219346
0.014000000000000344      0                        -9.942488888192713E-6    -2.3434358936748763
0.001614250411464546      0.014981374910174254     0.028000538357773348     -2.705415846257239
0                         0.01598492757733672      -3.004638969035985E-6    -2.7432312565244046
0.015007483282923692      0.001621008726013714     0.026492163106744997     -2.3302854962503843
0.016000000000000337      0                        -7.4802604379531346E-6   -2.3107823449994225
0.0016166740466420247     0.016981594413205143     0.032105606818265166     -2.7797819524073564
0                         0.01798304352450381      -4.658526499075795E-6    -2.822644540975695
0.01700263444111067       0.0016198259994095676    0.02976604044363444      -2.295610334825479
0.01800000000000033       0                        -6.0761851596868865E-6   -2.2740550295748005
0.019000000000000326      0.0016194675050769016    0.032971395738002784     -2.2568838677319443
0.020000000000000323      0                        -5.484947106578393E-6    -2.2333579359062607
0.0016179627266583163     0.018980901429779266     0.03631864697974615      -2.8643074772658212
0                         0.0199811594716709       -5.9143291627113586E-6   -2.91239908058204
0.021000000000000324      0.0016194675050769023    0.03609492898663406      -2.2141916479764228
0.022000000000000318      0                        -5.368546817985376E-6    -2.188805149323861
0.023000000000000312      0.0016194675050769018    0.039117320182240754     -2.1677001771277804
0.02400000000000031       0                        -5.278487841782938E-6    -2.140521687256994
0.001618512491981257      0.020979661371967478     0.04065778019859264      -2.9593199530264322
0                         0.021979275418837988     -7.022124622816743E-6    -3.0128387060020394
0.0250000000000003        0.0016194675050769023    0.04203069114176113      -2.117539698032587
0.026000000000000304      0                        -5.2213205210538405E-6   -2.088642114740533
0.0016187826950957004     0.022978158215598163     0.04514764495640596      -3.0651901813161406
0                         0.02397739136600508      -7.998608820021976E-6    -3.1243491204328038
0.0270000000000003        0.0016194675050769018    0.044827299474935245     -2.0638498027595897
0.028000000000000295      0                        -5.187167952058758E-6    -2.033310543306986
0.029000000000000303      0.0016194675050769025    0.04749983829450163      -2.0067793831730083
0.03000000000000029       0                        -5.1693648333017705E-6   -1.9746801041699513
0.0016188795869307956     0.024976424062898392     0.0498070426886675       -3.1823227940255303
0                         0.02597550731317217      -8.888593718836546E-6    -3.247359689053513
0.0310000000000003        0.0016194675050769025    0.05004142863236982      -1.9464860991013875
0.032000000000000285      0                        -5.162817601730059E-6    -1.912912419486979
0.0330000000000003        0.0016194675050769023    0.05244563958014211      -1.8831358366239093
0.03400000000000028       0                        -5.163597591580545E-6    -1.8481770496350023
0.0016188964319115212     0.026974565286755722     0.054656406933337585     -3.3111724885799725
0                         0.02797362326033926      -9.774666548167943E-6    -3.3823455984441773
0.03500000000000028       0.0016194675050769025    0.054706504505764565     -1.8169021436977832
0.03600000000000027       0                        -5.168626894184551E-6    -1.7806509204174983
0.03700000000000026       0.0016194675050769023    0.056818534766882554     -1.7479656473552343
0.03800000000000026       0                        -5.175463420788636E-6    -1.7105177332791524
0.001618896431911521      0.028972681233922812     0.05971705817400519      -3.4522427678942953
0                         0.029971739207506353     -1.070384807041099E-5    -3.529830175770949
0.03900000000000026       0.0016194675050769018    0.05877673111342604      -1.6765134554576282
0.04000000000000026       0                        -5.182151999960638E-6    -1.6379673614040662
0.04100000000000025       0.0016194675050769023    0.06057659289450701      -1.602738545724401
0.04200000000000025       0                        -5.187117793440758E-6    -1.563195234428808
0.0016188964319115205     0.030970797181089905     0.06501010920664285      -3.6060830440954574
0                         0.031969855154673446     -1.1687400003050167E-5   -3.690387471425358
0.043000000000000246      0.0016194675050769014    0.062214125095902184     -1.5268391447420377
0.04400000000000023       0                        -5.189087934972155E-6    -1.4864017144473367
0.04500000000000023       0.0016194675050769007    0.0636858432692402       -1.4490180996119848
0.04600000000000022       0                        -5.187032698472649E-6    -1.407791465906296
0.001618896431911521      0.03296891312825699      0.07055726543559793      -3.7732932710278178
